epoch, wall, LR,training_loss_virial,training_loss_f,training_loss,training_virial_mae,training_virial_rmse,training_f_mae,training_f_rmse,validation_loss_virial,validation_loss_f,validation_loss,validation_virial_mae,validation_virial_rmse,validation_f_mae,validation_f_rmse
        32, 5384.772,    0.001,         0.032007,       2.8695e-05,         0.032036,         0.85,         1.99,       0.0336,       0.0594,         0.031447,       2.9937e-05,         0.031477,        0.879,         1.97,       0.0328,       0.0607
        33, 5552.864,    0.001,         0.031859,       2.8331e-05,         0.031887,        0.849,         1.98,       0.0332,       0.0591,         0.031068,        3.047e-05,         0.031098,        0.846,         1.96,       0.0339,       0.0613
        34, 5721.124,    0.001,         0.031814,       2.8348e-05,         0.031842,        0.851,         1.98,       0.0333,       0.0591,         0.031207,       3.2168e-05,         0.031239,        0.886,         1.96,       0.0369,       0.0629
        35, 5889.199,    0.001,         0.031798,       2.8765e-05,         0.031827,        0.849,         1.98,       0.0336,       0.0595,         0.031169,       3.0244e-05,         0.031199,        0.834,         1.96,       0.0331,        0.061
        36, 6057.240,    0.001,         0.031595,       2.9291e-05,         0.031624,         0.85,         1.97,       0.0341,       0.0601,         0.031272,       3.8506e-05,         0.031311,        0.866,         1.97,        0.044,       0.0689
        37, 6225.212,    0.001,          0.03171,       2.8898e-05,         0.031739,        0.852,         1.98,       0.0341,       0.0597,         0.031168,       3.0133e-05,         0.031198,        0.837,         1.96,       0.0324,       0.0609
        38, 6392.954,    0.001,         0.031682,        2.912e-05,         0.031711,        0.851,         1.97,       0.0342,       0.0599,         0.031557,       3.2115e-05,         0.031589,        0.878,         1.97,       0.0356,       0.0629
        39, 6560.626,    0.001,         0.031739,       2.8959e-05,         0.031768,        0.846,         1.98,       0.0341,       0.0597,         0.031193,       3.0044e-05,         0.031223,        0.862,         1.96,       0.0334,       0.0608
        40, 6728.513,    0.001,         0.031714,       2.8294e-05,         0.031742,        0.845,         1.98,        0.033,        0.059,         0.032504,       3.5498e-05,          0.03254,        0.915,            2,       0.0403,       0.0661
        41, 6896.429,    0.001,         0.031617,       2.8868e-05,         0.031646,        0.854,         1.97,        0.034,       0.0596,          0.03106,       3.0061e-05,          0.03109,        0.853,         1.96,        0.033,       0.0608
        42, 7064.648,    0.001,         0.031634,       2.8546e-05,         0.031663,        0.847,         1.97,       0.0335,       0.0593,          0.03181,       3.0044e-05,          0.03184,        0.831,         1.98,       0.0324,       0.0608
        43, 7232.719,    0.001,         0.031818,       2.8539e-05,         0.031847,        0.846,         1.98,       0.0334,       0.0592,         0.031026,        3.035e-05,         0.031056,        0.861,         1.96,       0.0335,       0.0611
        44, 7400.924,    0.001,         0.031642,        2.833e-05,          0.03167,        0.848,         1.97,       0.0334,       0.0591,         0.031344,        3.037e-05,         0.031374,        0.838,         1.97,       0.0334,       0.0612
        45, 7568.725,    0.001,         0.031645,       2.8185e-05,         0.031673,         0.85,         1.97,       0.0328,       0.0589,         0.031122,       3.0404e-05,         0.031152,        0.843,         1.96,       0.0332,       0.0612
        46, 7736.439,    0.001,         0.031609,       2.8468e-05,         0.031637,        0.845,         1.97,       0.0332,       0.0591,         0.031507,       3.1251e-05,         0.031538,        0.894,         1.97,       0.0355,        0.062
        47, 7904.225,    0.001,         0.031605,       2.8652e-05,         0.031633,        0.848,         1.97,       0.0337,       0.0594,         0.031226,       3.0847e-05,         0.031257,        0.854,         1.96,       0.0338,       0.0616
        48, 8072.136,    0.001,         0.031517,       2.8507e-05,         0.031545,        0.847,         1.97,       0.0333,       0.0593,         0.031198,       3.0512e-05,         0.031229,        0.837,         1.96,       0.0333,       0.0613
        49, 8239.959,    0.001,         0.031666,       2.9046e-05,         0.031695,        0.849,         1.97,       0.0338,       0.0598,         0.031084,       3.0662e-05,         0.031114,        0.845,         1.96,       0.0336,       0.0614
        50, 8408.011,    0.001,         0.031464,       3.0264e-05,         0.031494,         0.85,         1.97,       0.0351,        0.061,         0.031149,       3.0801e-05,          0.03118,        0.853,         1.96,       0.0339,       0.0616
        51, 8575.939,    0.001,         0.031464,       3.0825e-05,         0.031495,        0.854,         1.97,       0.0358,       0.0616,         0.031777,       3.1762e-05,         0.031809,        0.883,         1.98,       0.0353,       0.0625
        52, 8743.765,    0.001,         0.031471,       3.0315e-05,         0.031501,        0.852,         1.97,       0.0352,       0.0611,         0.031044,       3.2504e-05,         0.031076,        0.854,         1.96,       0.0353,       0.0633
        53, 8911.606,    0.001,          0.03141,       3.0784e-05,         0.031441,        0.852,         1.97,       0.0357,       0.0616,         0.031256,       3.1926e-05,         0.031288,         0.87,         1.97,       0.0356,       0.0627
        54, 9079.391,    0.001,         0.031558,       3.0739e-05,         0.031588,        0.851,         1.97,       0.0357,       0.0615,         0.030981,       3.1574e-05,         0.031013,        0.844,         1.96,        0.035,       0.0623
        55, 9247.372,    0.001,          0.03143,       3.0599e-05,          0.03146,        0.851,         1.97,       0.0353,       0.0614,         0.030972,       3.2237e-05,         0.031005,        0.852,         1.96,       0.0358,        0.063
        56, 9415.552,    0.001,         0.031492,       3.1007e-05,         0.031523,        0.851,         1.97,       0.0359,       0.0618,         0.031009,       3.0994e-05,          0.03104,        0.849,         1.96,        0.034,       0.0618
        57, 9583.393,    0.001,         0.031414,        3.065e-05,         0.031445,         0.85,         1.97,       0.0355,       0.0614,         0.031107,       3.2613e-05,          0.03114,        0.858,         1.96,       0.0358,       0.0634
        58, 9751.121,    0.001,         0.031431,       3.1369e-05,         0.031462,        0.851,         1.97,        0.036,       0.0621,         0.031274,       3.4635e-05,         0.031308,         0.85,         1.97,       0.0392,       0.0653
