epoch, wall, LR,training_loss_virial,training_loss_f,training_loss_e,training_loss,training_virial_mae,training_virial_rmse,training_f_mae,training_f_rmse,training_e_mae,training_e_rmse,validation_loss_virial,validation_loss_f,validation_loss_e,validation_loss,validation_virial_mae,validation_virial_rmse,validation_f_mae,validation_f_rmse,validation_e_mae,validation_e_rmse
       172, 17043.151,    0.001,         0.018463,       0.00015399,       0.00045641,         0.019073,        0.732,          1.5,       0.0737,        0.137,        0.182,        0.236,         0.021887,       0.00020257,       0.00026195,         0.022351,        0.784,          1.6,       0.0763,        0.157,        0.137,        0.179
       173, 17142.271,    0.001,         0.018596,       0.00015582,       0.00046481,         0.019216,        0.736,         1.51,       0.0738,        0.138,        0.183,        0.238,         0.019296,       0.00016143,       0.00029762,         0.019755,        0.758,         1.51,       0.0767,         0.14,        0.148,        0.191
       174, 17241.895,    0.001,         0.018039,       0.00015643,        0.0004369,         0.018632,        0.729,         1.48,       0.0738,        0.138,        0.179,        0.231,         0.020065,       0.00013896,       0.00035442,         0.020558,        0.747,         1.54,       0.0678,         0.13,        0.162,        0.208
       175, 17341.133,    0.001,         0.018058,       0.00015368,       0.00044685,         0.018659,        0.726,         1.48,       0.0731,        0.137,         0.18,        0.234,         0.019381,       0.00014426,       0.00036131,         0.019887,        0.744,         1.52,       0.0715,        0.133,        0.154,         0.21
       176, 17440.822,    0.001,          0.01827,       0.00015469,       0.00041946,         0.018844,        0.733,         1.49,       0.0742,        0.137,        0.174,        0.226,         0.020262,       0.00015674,       0.00034066,         0.020759,        0.749,         1.54,       0.0705,        0.138,        0.161,        0.204
       177, 17540.032,    0.001,         0.017852,       0.00015991,       0.00046311,         0.018475,        0.723,         1.48,       0.0739,         0.14,        0.182,        0.238,         0.020637,       0.00019885,       0.00059517,         0.021431,        0.777,         1.56,        0.076,        0.156,        0.212,         0.27
       178, 17639.470,    0.001,         0.017702,       0.00016132,        0.0004389,         0.018302,        0.724,         1.47,       0.0749,         0.14,        0.177,        0.231,         0.020251,       0.00016465,       0.00036966,         0.020786,        0.755,         1.55,       0.0739,        0.142,        0.168,        0.213
       179, 17738.886,    0.001,         0.017755,       0.00016793,       0.00043256,         0.018356,        0.724,         1.47,       0.0752,        0.143,        0.176,         0.23,          0.01891,       0.00012758,       0.00046535,         0.019503,         0.72,         1.49,       0.0664,        0.125,        0.192,        0.238
       180, 17838.532,    0.001,         0.017789,       0.00015766,       0.00045014,         0.018397,        0.722,         1.47,       0.0738,        0.139,        0.181,        0.234,         0.019721,       0.00014563,       0.00061609,         0.020483,        0.757,         1.53,       0.0728,        0.134,        0.216,        0.275
       181, 17938.040,    0.001,         0.017697,       0.00016142,       0.00042114,         0.018279,        0.724,         1.47,       0.0752,         0.14,        0.174,        0.227,          0.02008,       0.00015285,       0.00025416,         0.020487,         0.75,         1.55,       0.0736,        0.137,        0.137,        0.176
