epoch, wall, LR,training_loss_virial,training_loss_f,training_loss_e,training_loss,training_virial_mae,training_virial_rmse,training_f_mae,training_f_rmse,training_e_mae,training_e_rmse,validation_loss_virial,validation_loss_f,validation_loss_e,validation_loss,validation_virial_mae,validation_virial_rmse,validation_f_mae,validation_f_rmse,validation_e_mae,validation_e_rmse
        36, 14130.699,    0.001,         0.028411,       0.00011107,        0.0012124,         0.029734,         0.86,         1.86,        0.077,        0.116,        0.297,        0.385,          0.02603,       9.8921e-05,       0.00083193,         0.026961,        0.827,         1.76,       0.0743,         0.11,        0.252,        0.319
        37, 14521.934,    0.001,         0.028388,       0.00010591,        0.0011782,         0.029672,        0.861,         1.86,       0.0756,        0.114,        0.291,        0.379,         0.024915,       9.7484e-05,        0.0010977,          0.02611,        0.775,         1.73,       0.0735,        0.109,          0.3,        0.367
        38, 14913.686,    0.001,          0.02828,       0.00010887,        0.0012425,         0.029631,         0.86,         1.86,       0.0766,        0.115,        0.298,        0.389,         0.027663,       0.00011805,       0.00081698,         0.028598,        0.898,         1.82,       0.0811,         0.12,        0.238,        0.316
        39, 15305.091,    0.001,         0.028221,       0.00010861,        0.0010952,         0.029424,        0.856,         1.86,       0.0766,        0.115,        0.282,        0.366,         0.026232,       0.00019209,        0.0017569,         0.028181,        0.871,         1.77,       0.0937,        0.153,        0.376,        0.463
        40, 15696.417,    0.001,          0.02829,       0.00011212,        0.0010093,         0.029412,        0.858,         1.86,       0.0774,        0.117,         0.27,        0.351,         0.025393,       0.00010181,       0.00076733,         0.026263,        0.822,         1.74,       0.0742,        0.112,        0.233,        0.307
        41, 16087.794,    0.001,         0.028059,       0.00011196,        0.0011164,         0.029287,        0.859,         1.85,       0.0774,        0.117,         0.28,        0.369,         0.025026,       0.00010657,       0.00060924,         0.025742,        0.812,         1.73,       0.0778,        0.114,          0.2,        0.273
        42, 16479.537,    0.001,         0.027999,       0.00011311,       0.00098877,         0.029101,        0.855,         1.85,       0.0783,        0.118,        0.265,        0.347,          0.02521,       0.00011636,        0.0006663,         0.025993,        0.802,         1.74,       0.0797,        0.119,        0.223,        0.286
        43, 16870.900,    0.001,         0.027955,        0.0001119,        0.0010897,         0.029157,        0.857,         1.85,       0.0777,        0.117,        0.279,        0.365,         0.025134,       0.00011734,       0.00054167,         0.025793,        0.819,         1.73,       0.0804,         0.12,        0.203,        0.258
        44, 17261.949,    0.001,         0.027968,         0.000116,       0.00094275,         0.029027,        0.857,         1.85,        0.079,        0.119,        0.262,        0.339,         0.025341,       8.7369e-05,        0.0016931,         0.027122,        0.788,         1.74,       0.0702,        0.103,        0.348,        0.456
        45, 17653.334,    0.001,         0.027914,       0.00011006,       0.00098902,         0.029013,        0.852,         1.85,       0.0769,        0.116,        0.267,        0.348,         0.026598,       0.00013593,       0.00059744,         0.027331,        0.865,         1.78,        0.084,        0.129,        0.215,        0.271
        46, 18044.694,    0.001,         0.027868,       0.00011325,       0.00087419,         0.028855,        0.854,         1.84,       0.0782,        0.118,         0.25,        0.327,         0.026383,       0.00015255,       0.00070002,         0.027235,        0.879,         1.77,       0.0885,        0.137,        0.234,        0.293
        47, 18436.321,    0.001,         0.027731,       0.00011387,       0.00093977,         0.028785,        0.855,         1.84,       0.0787,        0.118,        0.257,        0.339,         0.025569,       0.00014571,       0.00086673,         0.026581,        0.833,         1.75,       0.0867,        0.134,        0.251,        0.325
        48, 18827.544,    0.001,         0.027749,       0.00011343,        0.0008638,         0.028727,        0.855,         1.84,       0.0782,        0.118,        0.247,        0.325,         0.025459,       0.00010516,       0.00051171,         0.026076,        0.806,         1.74,       0.0764,        0.113,         0.19,         0.25
        49, 19219.047,    0.001,         0.027689,       0.00011657,       0.00087189,         0.028678,        0.853,         1.84,       0.0794,        0.119,        0.252,        0.326,         0.027691,       0.00011635,       0.00045972,         0.028267,        0.865,         1.82,       0.0821,        0.119,        0.182,        0.237
        50, 19610.427,    0.001,         0.027582,       0.00011914,       0.00082185,         0.028523,        0.856,         1.84,       0.0801,        0.121,        0.244,        0.317,         0.025717,       9.0247e-05,       0.00070268,          0.02651,         0.81,         1.76,       0.0721,        0.105,        0.235,        0.293
        51, 20001.547,    0.001,         0.027551,       0.00011437,       0.00081119,         0.028477,        0.851,         1.83,       0.0786,        0.118,        0.244,        0.315,         0.025673,       0.00015442,        0.0013244,         0.027152,        0.882,         1.75,       0.0914,        0.137,        0.285,        0.403
        52, 20392.896,    0.001,         0.027458,       0.00011588,       0.00083514,         0.028409,        0.856,         1.83,        0.079,        0.119,        0.245,        0.319,         0.024736,       0.00011001,       0.00063667,         0.025483,        0.786,         1.72,       0.0762,        0.116,        0.215,        0.279
        53, 20784.531,    0.001,         0.027498,       0.00011681,        0.0008006,         0.028415,        0.854,         1.83,       0.0792,        0.119,        0.238,        0.313,         0.024524,       0.00013245,        0.0003912,         0.025047,        0.817,         1.71,       0.0831,        0.127,        0.171,        0.219
        54, 21176.031,    0.001,         0.027387,        0.0001174,        0.0007963,         0.028301,        0.853,         1.83,       0.0787,         0.12,        0.237,        0.312,         0.025389,       0.00010024,         0.000501,          0.02599,        0.802,         1.74,       0.0755,        0.111,        0.194,        0.248
        55, 21567.245,    0.001,         0.027302,       0.00011592,       0.00079046,         0.028209,        0.853,         1.83,       0.0781,        0.119,        0.237,        0.311,         0.026122,       0.00010328,       0.00074086,         0.026966,        0.821,         1.77,       0.0753,        0.112,        0.239,        0.301
        56, 21958.724,    0.001,         0.027252,       0.00012078,       0.00073178,         0.028104,        0.855,         1.82,       0.0799,        0.121,        0.229,        0.299,         0.026833,       8.6061e-05,        0.0011299,         0.028049,        0.835,          1.8,       0.0694,        0.103,        0.296,        0.372
        57, 22350.185,    0.001,         0.027074,       0.00011724,       0.00080723,         0.027999,        0.848,         1.82,       0.0786,         0.12,        0.237,        0.314,         0.025781,       9.7062e-05,        0.0007494,         0.026627,        0.833,         1.75,       0.0748,        0.109,        0.239,        0.303
        58, 22741.522,    0.001,         0.027066,       0.00011796,       0.00082256,         0.028006,        0.851,         1.82,       0.0787,         0.12,        0.242,        0.317,         0.025426,       0.00011299,       0.00062136,          0.02616,        0.817,         1.74,       0.0792,        0.118,        0.219,        0.275
        59, 23132.856,    0.001,         0.026947,       0.00012257,       0.00075375,         0.027823,        0.853,         1.81,       0.0796,        0.122,        0.234,        0.303,         0.024741,       0.00010313,       0.00070068,         0.025544,        0.783,         1.72,       0.0747,        0.112,        0.219,        0.293
        60, 23524.474,    0.001,         0.027001,       0.00012097,       0.00081447,         0.027936,        0.847,         1.82,        0.079,        0.122,        0.241,        0.315,         0.026205,       0.00012026,        0.0010384,         0.027364,        0.873,         1.78,       0.0818,        0.121,        0.284,        0.356
        61, 23915.928,    0.001,         0.026839,       0.00012444,       0.00074226,         0.027705,        0.851,         1.81,         0.08,        0.123,        0.232,        0.301,         0.025839,       0.00010207,       0.00041006,         0.026351,         0.82,         1.76,       0.0752,        0.112,        0.176,        0.224
        62, 24307.299,    0.001,         0.026811,       0.00011889,       0.00072364,         0.027653,        0.854,         1.81,       0.0781,         0.12,        0.228,        0.297,         0.024553,       0.00015142,       0.00045437,         0.025158,        0.832,         1.71,       0.0885,        0.136,        0.185,        0.236
        63, 24698.837,    0.001,         0.026486,       0.00012393,       0.00076645,         0.027376,        0.848,          1.8,       0.0792,        0.123,        0.232,        0.306,         0.025516,       0.00012285,        0.0014638,         0.027103,        0.845,         1.75,       0.0797,        0.122,         0.36,        0.423
        64, 25090.259,    0.001,         0.026523,       0.00012648,       0.00078645,         0.027436,        0.851,          1.8,       0.0796,        0.124,        0.235,         0.31,         0.024546,       0.00010609,       0.00051101,         0.025163,        0.794,         1.71,       0.0752,        0.114,        0.195,         0.25
        65, 25481.675,    0.001,          0.02651,       0.00011973,       0.00069444,         0.027324,        0.844,          1.8,       0.0781,        0.121,        0.223,        0.291,         0.024551,       0.00010595,       0.00067534,         0.025333,        0.787,         1.71,       0.0752,        0.114,        0.228,        0.287
        66, 25873.051,    0.001,         0.026561,       0.00011713,       0.00075387,         0.027432,        0.842,          1.8,       0.0775,         0.12,        0.233,        0.303,         0.024472,       0.00010766,       0.00053454,         0.025114,        0.784,         1.71,       0.0748,        0.115,        0.201,        0.256
        67, 26264.259,    0.001,         0.026434,       0.00011936,        0.0007758,         0.027329,        0.846,          1.8,       0.0772,        0.121,        0.235,        0.308,         0.025203,       0.00010809,       0.00038276,         0.025694,        0.796,         1.73,       0.0738,        0.115,        0.169,        0.217
        68, 26655.549,    0.001,         0.026075,       0.00011857,       0.00072339,         0.026917,        0.839,         1.78,       0.0767,         0.12,        0.227,        0.297,         0.024438,       0.00011182,       0.00045351,         0.025003,        0.791,         1.71,       0.0753,        0.117,        0.183,        0.236
        69, 27046.896,    0.001,         0.026405,       0.00011654,       0.00069194,         0.027213,        0.845,          1.8,       0.0764,        0.119,        0.225,        0.291,         0.024678,       0.00011796,       0.00038835,         0.025184,        0.806,         1.71,       0.0786,         0.12,        0.169,        0.218
        70, 27438.352,    0.001,         0.026067,       0.00012327,       0.00067885,         0.026869,        0.838,         1.78,       0.0774,        0.123,        0.221,        0.288,         0.024604,       0.00010053,       0.00061291,         0.025317,        0.793,         1.71,       0.0736,        0.111,        0.207,        0.274
