epoch, wall, LR,training_loss_virial,training_loss_f,training_loss_e,training_loss,training_virial_mae,training_virial_rmse,training_f_mae,training_f_rmse,training_e_mae,training_e_rmse,validation_loss_virial,validation_loss_f,validation_loss_e,validation_loss,validation_virial_mae,validation_virial_rmse,validation_f_mae,validation_f_rmse,validation_e_mae,validation_e_rmse
       173, 67790.243,    0.001,         0.016057,       0.00019503,       0.00038032,         0.016633,         0.69,          1.4,        0.077,        0.154,        0.164,        0.215,         0.019267,       0.00017938,       0.00021211,         0.019658,        0.731,         1.52,       0.0792,        0.148,        0.127,        0.161
       174, 68182.414,    0.001,         0.016341,       0.00019815,       0.00036957,         0.016909,        0.691,         1.41,        0.078,        0.156,        0.163,        0.212,          0.02014,       0.00018087,       0.00030546,         0.020626,        0.748,         1.55,       0.0765,        0.149,        0.144,        0.194
       175, 68574.314,    0.001,         0.016033,       0.00020121,       0.00038345,         0.016618,        0.685,          1.4,       0.0778,        0.157,        0.164,        0.216,         0.019246,       0.00017864,       0.00021932,         0.019644,        0.742,         1.52,        0.078,        0.148,        0.129,        0.164
       176, 68966.395,    0.001,         0.015799,       0.00019399,       0.00040757,           0.0164,        0.682,         1.39,       0.0777,        0.154,        0.167,        0.223,         0.021097,        0.0001877,        0.0003294,         0.021614,        0.758,         1.59,       0.0755,        0.152,        0.158,        0.201
       177, 69358.268,    0.001,          0.01609,       0.00019916,       0.00037696,         0.016666,        0.688,          1.4,       0.0778,        0.156,        0.164,        0.215,         0.021584,       0.00021903,       0.00027812,         0.022081,        0.787,         1.61,       0.0837,        0.164,        0.144,        0.185
       178, 69750.123,    0.001,         0.015939,       0.00020193,       0.00036599,         0.016507,        0.682,         1.39,       0.0782,        0.157,        0.161,        0.211,          0.01867,       0.00017473,        0.0003432,         0.019188,        0.704,         1.49,       0.0744,        0.146,        0.147,        0.205
       179, 70141.938,    0.001,          0.01571,       0.00019761,       0.00036366,         0.016272,        0.682,         1.38,       0.0781,        0.155,        0.159,        0.211,         0.018218,       0.00019343,       0.00041493,         0.018826,        0.726,         1.47,       0.0789,        0.154,        0.173,        0.225
       180, 70534.116,    0.001,         0.015647,       0.00019999,       0.00036529,         0.016212,        0.679,         1.38,       0.0783,        0.156,         0.16,        0.211,         0.020778,       0.00017622,       0.00030774,         0.021262,        0.772,         1.58,       0.0747,        0.147,        0.158,        0.194
       181, 70926.170,    0.001,          0.01569,       0.00020027,       0.00037472,         0.016265,        0.678,         1.38,       0.0784,        0.156,        0.163,        0.214,         0.018624,         0.000198,       0.00024725,         0.019069,        0.735,         1.49,       0.0802,        0.156,        0.136,        0.174
       182, 71318.242,    0.001,         0.015297,       0.00020365,       0.00036912,          0.01587,        0.673,         1.37,       0.0781,        0.158,         0.16,        0.212,         0.018719,       0.00014167,       0.00019578,         0.019056,        0.709,         1.49,       0.0704,        0.132,        0.123,        0.155
       183, 71710.022,    0.001,         0.015438,       0.00020639,       0.00035523,            0.016,        0.672,         1.37,       0.0785,        0.159,        0.158,        0.208,         0.019336,        0.0001533,       0.00038799,         0.019878,         0.73,         1.51,       0.0719,        0.137,         0.17,        0.218
       184, 72101.785,    0.001,         0.015302,       0.00019964,       0.00034772,          0.01585,        0.674,         1.37,       0.0784,        0.156,        0.157,        0.206,         0.020213,       0.00016384,       0.00026061,         0.020638,        0.749,         1.56,        0.076,        0.141,        0.138,        0.179
       185, 72493.637,    0.001,         0.015381,       0.00019282,       0.00037679,         0.015951,        0.671,         1.37,       0.0771,        0.153,        0.163,        0.214,         0.020619,       0.00018221,       0.00022546,         0.021026,        0.761,         1.57,       0.0772,        0.149,        0.132,        0.166
       186, 72885.385,    0.001,         0.015476,       0.00020165,       0.00033651,         0.016014,        0.677,         1.37,       0.0783,        0.157,        0.154,        0.203,         0.020181,       0.00015437,        0.0005735,         0.020909,         0.73,         1.55,       0.0702,        0.137,        0.196,        0.265
       187, 73277.279,    0.001,         0.015207,       0.00020153,       0.00032713,         0.015735,        0.668,         1.36,       0.0776,        0.157,        0.152,          0.2,         0.019362,       0.00020842,       0.00056899,          0.02014,         0.75,         1.51,       0.0803,         0.16,        0.179,        0.264
       188, 73669.009,    0.001,         0.014934,       0.00020906,       0.00038495,         0.015528,        0.668,         1.35,       0.0794,         0.16,        0.162,        0.217,         0.021108,       0.00021671,       0.00018514,          0.02151,         0.78,         1.58,       0.0813,        0.163,        0.119,        0.151
       189, 74060.998,    0.001,          0.01481,       0.00020149,       0.00033908,          0.01535,        0.657,         1.34,       0.0782,        0.157,        0.153,        0.203,         0.019821,       0.00026813,       0.00034276,         0.020432,        0.753,         1.53,       0.0848,        0.181,        0.164,        0.205
       190, 74452.735,    0.001,         0.014701,       0.00021502,       0.00032758,         0.015244,        0.659,         1.34,       0.0798,        0.162,        0.153,          0.2,         0.020522,       0.00018075,       0.00020885,         0.020912,        0.746,         1.57,        0.078,        0.149,        0.125,         0.16
       191, 74844.693,    0.001,         0.014926,       0.00020438,       0.00033081,         0.015461,        0.665,         1.35,        0.079,        0.158,        0.152,        0.201,         0.019368,        0.0001904,       0.00035738,         0.019915,        0.735,         1.53,       0.0773,        0.153,        0.163,        0.209
       192, 75236.721,    0.001,         0.014762,       0.00021328,       0.00031986,         0.015295,         0.66,         1.34,       0.0796,        0.161,         0.15,        0.198,         0.019949,       0.00018474,       0.00041761,         0.020552,        0.731,         1.55,       0.0759,         0.15,        0.177,        0.226
       193, 75628.844,    0.001,         0.014564,        0.0002077,       0.00034075,         0.015112,        0.655,         1.33,       0.0795,        0.159,        0.156,        0.204,         0.020004,       0.00020271,         0.001328,         0.021534,         0.74,         1.55,       0.0812,        0.158,        0.301,        0.403
       194, 76021.000,    0.001,         0.014549,       0.00020772,       0.00032254,         0.015079,        0.657,         1.33,       0.0793,        0.159,        0.151,        0.198,         0.020656,       0.00017388,       0.00025608,         0.021086,        0.742,         1.57,       0.0719,        0.146,        0.133,        0.177
       195, 76413.330,    0.001,          0.01433,       0.00020068,       0.00036932,           0.0149,        0.651,         1.32,       0.0781,        0.156,        0.159,        0.212,         0.018566,       0.00016838,       0.00051895,         0.019253,        0.724,          1.5,       0.0777,        0.144,        0.206,        0.252
       196, 76805.240,    0.001,         0.014573,       0.00020893,       0.00036374,         0.015146,        0.657,         1.33,       0.0803,         0.16,        0.161,        0.211,         0.019473,       0.00017097,        0.0001839,         0.019828,        0.713,         1.53,       0.0729,        0.145,         0.12,         0.15
       197, 77197.435,    0.001,         0.014071,       0.00020933,        0.0003438,         0.014624,        0.648,         1.31,       0.0793,         0.16,        0.156,        0.205,         0.019169,       0.00021871,       0.00072318,         0.020111,        0.729,         1.52,        0.079,        0.164,        0.231,        0.298
       198, 77589.404,    0.001,         0.014269,       0.00021081,       0.00033979,         0.014819,         0.65,         1.32,       0.0797,         0.16,        0.155,        0.204,         0.018904,       0.00022633,       0.00062033,         0.019751,        0.744,          1.5,       0.0863,        0.166,        0.209,        0.276
       199, 77981.445,    0.001,         0.014323,       0.00021134,       0.00032703,         0.014861,        0.655,         1.32,       0.0804,        0.161,        0.153,          0.2,         0.019626,       0.00020024,       0.00025439,         0.020081,        0.747,         1.52,       0.0759,        0.156,        0.138,        0.176
       200, 78373.161,    0.001,         0.014065,       0.00020843,       0.00030753,         0.014581,        0.645,         1.31,       0.0804,         0.16,        0.148,        0.194,         0.020625,       0.00022899,       0.00061285,         0.021466,        0.776,         1.57,       0.0895,        0.167,        0.222,        0.274
