epoch, wall, LR,training_loss_virial,training_loss_f,training_loss,training_virial_mae,training_virial_rmse,training_f_mae,training_f_rmse,validation_loss_virial,validation_loss_f,validation_loss,validation_virial_mae,validation_virial_rmse,validation_f_mae,validation_f_rmse
        32, 1579.450,    0.001,         0.031951,       2.9437e-05,         0.031981,        0.854,         1.98,        0.035,       0.0602,         0.031436,       3.0427e-05,         0.031466,         0.88,         1.97,       0.0342,       0.0612
        33, 1628.190,    0.001,         0.031798,        2.895e-05,         0.031827,        0.854,         1.98,       0.0345,       0.0597,         0.031065,       3.0876e-05,         0.031096,        0.847,         1.96,       0.0346,       0.0617
        34, 1677.111,    0.001,         0.031805,       2.8926e-05,         0.031834,        0.855,         1.98,       0.0343,       0.0597,         0.031284,        3.233e-05,         0.031316,        0.882,         1.97,       0.0368,       0.0631
        35, 1725.845,    0.001,         0.031698,       2.9352e-05,         0.031727,        0.854,         1.98,       0.0347,       0.0601,         0.031202,       3.1347e-05,         0.031233,        0.833,         1.96,       0.0356,       0.0621
        36, 1774.504,    0.001,         0.031531,       2.9849e-05,         0.031561,        0.853,         1.97,       0.0352,       0.0606,         0.031418,       4.2962e-05,         0.031461,        0.876,         1.97,       0.0477,       0.0727
        37, 1823.204,    0.001,         0.031682,       2.9568e-05,         0.031711,        0.858,         1.98,       0.0352,       0.0603,         0.031138,       3.0652e-05,         0.031169,         0.84,         1.96,       0.0334,       0.0614
        38, 1871.934,    0.001,         0.031625,        2.975e-05,         0.031655,        0.856,         1.97,       0.0352,       0.0605,         0.031294,       3.1678e-05,         0.031326,         0.86,         1.97,       0.0351,       0.0625
        39, 1920.587,    0.001,         0.031691,       2.9814e-05,         0.031721,        0.851,         1.98,       0.0354,       0.0606,         0.031247,       3.1914e-05,         0.031279,        0.872,         1.97,       0.0361,       0.0627
        40, 1969.582,    0.001,         0.031647,         2.93e-05,         0.031677,         0.85,         1.97,       0.0345,       0.0601,         0.031732,       3.2708e-05,         0.031764,        0.888,         1.98,       0.0367,       0.0635
        41, 2018.713,    0.001,         0.031508,       3.0397e-05,         0.031538,        0.859,         1.97,       0.0361,       0.0612,         0.031048,        3.153e-05,         0.031079,        0.862,         1.96,       0.0356,       0.0623
        42, 2067.911,    0.001,         0.031533,        2.967e-05,         0.031563,        0.851,         1.97,        0.035,       0.0604,         0.031776,       3.1716e-05,         0.031807,         0.84,         1.98,       0.0353,       0.0625
