,mean,std,rmsd
500,330.845,18.875141721322255,36.161927492875705
1000,308.815,37.775134347874925,38.79001160092634
1500,325.705,28.737222812930273,38.5561279176216
2000,328.205,37.735698946753324,47.111622769758206
2500,347.385,26.82660573013291,54.451859472381656
3000,327.555,19.179858576120942,33.57298020730361
3500,,,
