       Step     Time          Energy          fmax
LBFGS:    0 15:56:09    -1105.682861        0.106410
LBFGS:    1 15:56:10    -1105.684326        0.103072
LBFGS:    2 15:56:26    -1105.705566        0.040853
LBFGS:    3 15:56:26    -1105.706055        0.044933
LBFGS:    4 15:56:27    -1105.707153        0.045800
LBFGS:    5 15:56:27    -1105.708984        0.038236
LBFGS:    6 15:56:27    -1105.710449        0.038201
LBFGS:    7 15:56:27    -1105.710938        0.041411
LBFGS:    8 15:56:27    -1105.711304        0.035109
LBFGS:    9 15:56:27    -1105.711670        0.022200
LBFGS:   10 15:56:27    -1105.712280        0.022314
LBFGS:   11 15:56:27    -1105.712769        0.023314
LBFGS:   12 15:56:27    -1105.713013        0.028065
LBFGS:   13 15:56:27    -1105.713135        0.023993
LBFGS:   14 15:56:27    -1105.713257        0.015710
LBFGS:   15 15:56:27    -1105.713501        0.015529
LBFGS:   16 15:56:27    -1105.713867        0.016030
LBFGS:   17 15:56:27    -1105.713989        0.023692
LBFGS:   18 15:56:27    -1105.714111        0.021336
LBFGS:   19 15:56:27    -1105.714233        0.015875
LBFGS:   20 15:56:27    -1105.714355        0.012359
LBFGS:   21 15:56:27    -1105.714478        0.011394
LBFGS:   22 15:56:28    -1105.714600        0.017315
LBFGS:   23 15:56:28    -1105.714722        0.016633
LBFGS:   24 15:56:28    -1105.714722        0.012676
LBFGS:   25 15:56:28    -1105.714844        0.007451
       Step     Time          Energy          fmax
LBFGS:    0 15:56:29    -1105.690186        0.206115
LBFGS:    1 15:56:30    -1105.692139        0.196659
LBFGS:    2 15:56:32    -1105.714600        0.093540
LBFGS:    3 15:56:32    -1105.715210        0.079126
LBFGS:    4 15:56:32    -1105.716919        0.061110
LBFGS:    5 15:56:32    -1105.719482        0.049292
LBFGS:    6 15:56:32    -1105.721436        0.040900
LBFGS:    7 15:56:32    -1105.722168        0.040513
LBFGS:    8 15:56:32    -1105.722534        0.031142
LBFGS:    9 15:56:32    -1105.722900        0.025294
LBFGS:   10 15:56:33    -1105.723633        0.023012
LBFGS:   11 15:56:33    -1105.724243        0.030665
LBFGS:   12 15:56:33    -1105.724609        0.034456
LBFGS:   13 15:56:33    -1105.724731        0.028320
LBFGS:   14 15:56:33    -1105.724854        0.018870
LBFGS:   15 15:56:33    -1105.724976        0.018779
LBFGS:   16 15:56:33    -1105.725220        0.015539
LBFGS:   17 15:56:33    -1105.725464        0.023349
LBFGS:   18 15:56:33    -1105.725586        0.020222
LBFGS:   19 15:56:33    -1105.725586        0.013968
LBFGS:   20 15:56:33    -1105.725708        0.016433
LBFGS:   21 15:56:33    -1105.725830        0.015246
LBFGS:   22 15:56:33    -1105.725952        0.013840
LBFGS:   23 15:56:33    -1105.726074        0.011294
LBFGS:   24 15:56:33    -1105.726074        0.008212
Using device: cuda
Skipping neb calculation
       Step     Time          Energy          fmax
LBFGS:    0 15:56:40    -1105.759155        0.269374
LBFGS:    1 15:56:41    -1105.763916        0.257495
LBFGS:    2 15:56:43    -1105.811646        0.106491
LBFGS:    3 15:56:43    -1105.813110        0.092487
LBFGS:    4 15:56:43    -1105.815186        0.077429
LBFGS:    5 15:56:43    -1105.819946        0.069110
LBFGS:    6 15:56:43    -1105.824341        0.067042
LBFGS:    7 15:56:43    -1105.826416        0.045894
LBFGS:    8 15:56:44    -1105.827026        0.033315
LBFGS:    9 15:56:44    -1105.827515        0.028452
LBFGS:   10 15:56:44    -1105.828369        0.030759
LBFGS:   11 15:56:44    -1105.829468        0.027518
LBFGS:   12 15:56:44    -1105.830078        0.027346
LBFGS:   13 15:56:44    -1105.830444        0.024849
LBFGS:   14 15:56:44    -1105.830566        0.025072
LBFGS:   15 15:56:44    -1105.830811        0.026029
LBFGS:   16 15:56:44    -1105.831299        0.028773
LBFGS:   17 15:56:44    -1105.831787        0.033522
LBFGS:   18 15:56:44    -1105.832153        0.037808
LBFGS:   19 15:56:44    -1105.832275        0.040223
LBFGS:   20 15:56:44    -1105.832520        0.042556
LBFGS:   21 15:56:44    -1105.833008        0.046902
LBFGS:   22 15:56:44    -1105.833740        0.053375
LBFGS:   23 15:56:44    -1105.834595        0.058527
LBFGS:   24 15:56:44    -1105.835327        0.061393
LBFGS:   25 15:56:44    -1105.835938        0.063416
LBFGS:   26 15:56:44    -1105.836548        0.065569
LBFGS:   27 15:56:44    -1105.838135        0.065655
LBFGS:   28 15:56:44    -1105.840210        0.064020
LBFGS:   29 15:56:44    -1105.842407        0.048639
LBFGS:   30 15:56:44    -1105.844116        0.045072
LBFGS:   31 15:56:45    -1105.844604        0.038708
LBFGS:   32 15:56:45    -1105.845215        0.036619
LBFGS:   33 15:56:45    -1105.846802        0.033487
LBFGS:   34 15:56:45    -1105.848145        0.031927
LBFGS:   35 15:56:45    -1105.848877        0.031453
LBFGS:   36 15:56:45    -1105.849121        0.023706
LBFGS:   37 15:56:45    -1105.849365        0.020949
LBFGS:   38 15:56:45    -1105.849854        0.022260
LBFGS:   39 15:56:45    -1105.850464        0.023341
LBFGS:   40 15:56:45    -1105.850830        0.028210
LBFGS:   41 15:56:45    -1105.851074        0.022953
LBFGS:   42 15:56:45    -1105.851074        0.018079
LBFGS:   43 15:56:45    -1105.851318        0.020988
LBFGS:   44 15:56:45    -1105.851562        0.018790
LBFGS:   45 15:56:45    -1105.851807        0.021645
LBFGS:   46 15:56:45    -1105.851929        0.020077
LBFGS:   47 15:56:45    -1105.851929        0.015086
LBFGS:   48 15:56:45    -1105.851929        0.014149
LBFGS:   49 15:56:45    -1105.852051        0.011939
