       Step     Time          Energy          fmax
LBFGS:   50 15:56:45    -1105.852173        0.012885
LBFGS:   51 15:56:45    -1105.852295        0.013150
LBFGS:   52 15:56:45    -1105.852295        0.009240
Using device: cuda
Skipping neb calculation
       Step     Time          Energy          fmax
LBFGS:    0 15:56:53    -1105.687256        0.244115
LBFGS:    1 15:56:54    -1105.689819        0.232200
LBFGS:    2 15:56:57    -1105.712891        0.097086
LBFGS:    3 15:56:57    -1105.713501        0.079157
LBFGS:    4 15:56:57    -1105.715332        0.055926
LBFGS:    5 15:56:57    -1105.717773        0.045201
LBFGS:    6 15:56:57    -1105.719727        0.038667
LBFGS:    7 15:56:57    -1105.720459        0.028887
LBFGS:    8 15:56:57    -1105.720703        0.029080
LBFGS:    9 15:56:57    -1105.721069        0.028795
LBFGS:   10 15:56:57    -1105.721680        0.029800
LBFGS:   11 15:56:57    -1105.722412        0.033363
LBFGS:   12 15:56:57    -1105.722900        0.027172
LBFGS:   13 15:56:57    -1105.723145        0.025194
LBFGS:   14 15:56:57    -1105.723267        0.023617
LBFGS:   15 15:56:57    -1105.723511        0.021741
LBFGS:   16 15:56:57    -1105.723877        0.022486
LBFGS:   17 15:56:57    -1105.724121        0.020893
LBFGS:   18 15:56:57    -1105.724365        0.020750
LBFGS:   19 15:56:57    -1105.724487        0.022518
LBFGS:   20 15:56:57    -1105.724609        0.024204
LBFGS:   21 15:56:57    -1105.724976        0.028184
LBFGS:   22 15:56:57    -1105.725464        0.037118
LBFGS:   23 15:56:57    -1105.726074        0.051816
LBFGS:   24 15:56:57    -1105.726685        0.066385
LBFGS:   25 15:56:58    -1105.727173        0.074016
LBFGS:   26 15:56:58    -1105.728027        0.072129
LBFGS:   27 15:56:58    -1105.729370        0.064644
LBFGS:   28 15:56:58    -1105.730957        0.056438
LBFGS:   29 15:56:58    -1105.731934        0.051272
LBFGS:   30 15:56:58    -1105.732300        0.042638
LBFGS:   31 15:56:58    -1105.732788        0.030688
LBFGS:   32 15:56:58    -1105.732910        0.025591
LBFGS:   33 15:56:58    -1105.733887        0.025304
LBFGS:   34 15:56:58    -1105.734253        0.019154
LBFGS:   35 15:56:58    -1105.734497        0.017140
LBFGS:   36 15:56:58    -1105.734497        0.013350
LBFGS:   37 15:56:58    -1105.734619        0.011634
LBFGS:   38 15:56:58    -1105.734863        0.009873
Using device: cuda
Skipping neb calculation
       Step     Time          Energy          fmax
LBFGS:    0 15:57:05    -1105.626953        0.244212
LBFGS:    1 15:57:06    -1105.634155        0.237633
LBFGS:    2 15:57:09    -1105.718628        0.214127
LBFGS:    3 15:57:09    -1105.726807        0.138926
LBFGS:    4 15:57:09    -1105.728760        0.135783
LBFGS:    5 15:57:09    -1105.750854        0.062051
LBFGS:    6 15:57:09    -1105.751953        0.055285
LBFGS:    7 15:57:09    -1105.753052        0.056128
LBFGS:    8 15:57:09    -1105.756104        0.046530
LBFGS:    9 15:57:09    -1105.757935        0.029972
LBFGS:   10 15:57:09    -1105.758789        0.030591
LBFGS:   11 15:57:09    -1105.759033        0.026829
LBFGS:   12 15:57:09    -1105.759521        0.022591
LBFGS:   13 15:57:09    -1105.760254        0.024577
LBFGS:   14 15:57:09    -1105.760986        0.024338
LBFGS:   15 15:57:09    -1105.761353        0.022533
LBFGS:   16 15:57:09    -1105.761475        0.019922
LBFGS:   17 15:57:09    -1105.761597        0.014790
LBFGS:   18 15:57:09    -1105.761719        0.014514
LBFGS:   19 15:57:09    -1105.761963        0.010690
LBFGS:   20 15:57:09    -1105.762207        0.017699
LBFGS:   21 15:57:09    -1105.762207        0.017235
LBFGS:   22 15:57:09    -1105.762329        0.013796
LBFGS:   23 15:57:09    -1105.762451        0.010662
LBFGS:   24 15:57:10    -1105.762573        0.010789
LBFGS:   25 15:57:10    -1105.762695        0.012852
LBFGS:   26 15:57:10    -1105.762817        0.015304
LBFGS:   27 15:57:10    -1105.762817        0.012484
LBFGS:   28 15:57:10    -1105.762817        0.008065
Using device: cuda
Skipping neb calculation
       Step     Time          Energy          fmax
LBFGS:    0 15:57:17    -1105.701660        0.108868
LBFGS:    1 15:57:18    -1105.703369        0.104508
LBFGS:    2 15:57:20    -1105.721436        0.051236
LBFGS:    3 15:57:20    -1105.721802        0.049867
LBFGS:    4 15:57:20    -1105.726562        0.042076
LBFGS:    5 15:57:20    -1105.726807        0.042800
LBFGS:    6 15:57:20    -1105.727539        0.043981
LBFGS:    7 15:57:20    -1105.728516        0.043891
LBFGS:    8 15:57:20    -1105.729614        0.041797
LBFGS:    9 15:57:20    -1105.730347        0.038831
LBFGS:   10 15:57:20    -1105.730591        0.036614
LBFGS:   11 15:57:21    -1105.730957        0.034905
LBFGS:   12 15:57:21    -1105.731445        0.032480
LBFGS:   13 15:57:21    -1105.732178        0.030010
LBFGS:   14 15:57:21    -1105.732910        0.028877
LBFGS:   15 15:57:21    -1105.733398        0.029371
LBFGS:   16 15:57:21    -1105.733643        0.030171
LBFGS:   17 15:57:21    -1105.734009        0.030901
LBFGS:   18 15:57:21    -1105.734497        0.030993
LBFGS:   19 15:57:21    -1105.735229        0.029311
LBFGS:   20 15:57:21    -1105.735718        0.027221
LBFGS:   21 15:57:21    -1105.736084        0.027116
LBFGS:   22 15:57:21    -1105.736206        0.024063
LBFGS:   23 15:57:21    -1105.736572        0.022897
LBFGS:   24 15:57:21    -1105.737183        0.021767
LBFGS:   25 15:57:21    -1105.737671        0.027728
LBFGS:   26 15:57:21    -1105.738037        0.032038
LBFGS:   27 15:57:21    -1105.738159        0.027714
LBFGS:   28 15:57:21    -1105.738403        0.022771
LBFGS:   29 15:57:21    -1105.738770        0.023123
LBFGS:   30 15:57:21    -1105.739380        0.023467
LBFGS:   31 15:57:21    -1105.739746        0.024363
LBFGS:   32 15:57:21    -1105.739990        0.023783
LBFGS:   33 15:57:21    -1105.740112        0.023883
LBFGS:   34 15:57:22    -1105.740479        0.024104
LBFGS:   35 15:57:22    -1105.741089        0.023805
LBFGS:   36 15:57:22    -1105.741577        0.026341
LBFGS:   37 15:57:22    -1105.741943        0.025417
LBFGS:   38 15:57:22    -1105.742188        0.020622
LBFGS:   39 15:57:22    -1105.742432        0.018854
LBFGS:   40 15:57:22    -1105.742798        0.021351
LBFGS:   41 15:57:22    -1105.743286        0.021536
LBFGS:   42 15:57:22    -1105.743774        0.021328
LBFGS:   43 15:57:22    -1105.744019        0.015213
LBFGS:   44 15:57:22    -1105.744141        0.015643
LBFGS:   45 15:57:22    -1105.744385        0.015173
LBFGS:   46 15:57:22    -1105.744751        0.016860
LBFGS:   47 15:57:22    -1105.744995        0.019177
LBFGS:   48 15:57:22    -1105.745239        0.014658
LBFGS:   49 15:57:22    -1105.745239        0.012573
LBFGS:   50 15:57:22    -1105.745361        0.012510
LBFGS:   51 15:57:22    -1105.745483        0.012337
LBFGS:   52 15:57:22    -1105.745728        0.014750
LBFGS:   53 15:57:22    -1105.745972        0.013949
LBFGS:   54 15:57:22    -1105.745972        0.011185
LBFGS:   55 15:57:22    -1105.746094        0.008930
Using device: cuda
Skipping neb calculation
       Step     Time          Energy          fmax
LBFGS:    0 15:57:30    -1105.737793        0.163752
LBFGS:    1 15:57:30    -1105.739868        0.156640
LBFGS:    2 15:57:33    -1105.763916        0.110394
LBFGS:    3 15:57:33    -1105.764648        0.095617
LBFGS:    4 15:57:33    -1105.766724        0.057493
LBFGS:    5 15:57:33    -1105.768921        0.034945
LBFGS:    6 15:57:33    -1105.770386        0.056518
LBFGS:    7 15:57:33    -1105.770874        0.053220
LBFGS:    8 15:57:33    -1105.771118        0.040678
LBFGS:    9 15:57:33    -1105.771729        0.022704
LBFGS:   10 15:57:33    -1105.772217        0.018799
LBFGS:   11 15:57:33    -1105.772705        0.032075
LBFGS:   12 15:57:33    -1105.772827        0.029669
LBFGS:   13 15:57:33    -1105.772949        0.021828
LBFGS:   14 15:57:33    -1105.773193        0.019713
LBFGS:   15 15:57:33    -1105.773438        0.016523
LBFGS:   16 15:57:34    -1105.773682        0.020393
LBFGS:   17 15:57:34    -1105.773804        0.020409
LBFGS:   18 15:57:34    -1105.773804        0.016095
LBFGS:   19 15:57:34    -1105.773926        0.014541
LBFGS:   20 15:57:34    -1105.774048        0.015534
LBFGS:   21 15:57:34    -1105.774292        0.015313
LBFGS:   22 15:57:34    -1105.774414        0.017806
LBFGS:   23 15:57:34    -1105.774414        0.015787
LBFGS:   24 15:57:34    -1105.774414        0.013055
LBFGS:   25 15:57:34    -1105.774536        0.010042
LBFGS:   26 15:57:34    -1105.774658        0.010855
LBFGS:   27 15:57:34    -1105.774658        0.012365
LBFGS:   28 15:57:34    -1105.774780        0.011836
LBFGS:   29 15:57:34    -1105.774780        0.010539
LBFGS:   30 15:57:34    -1105.774780        0.009568
Using device: cuda
Skipping neb calculation
       Step     Time          Energy          fmax
LBFGS:    0 15:57:41    -1105.680298        0.096829
LBFGS:    1 15:57:42    -1105.682007        0.093465
LBFGS:    2 15:57:45    -1105.700928        0.047720
LBFGS:    3 15:57:45    -1105.701172        0.044201
LBFGS:    4 15:57:45    -1105.704468        0.022883
LBFGS:    5 15:57:45    -1105.704590        0.023792
LBFGS:    6 15:57:45    -1105.704834        0.022106
LBFGS:    7 15:57:45    -1105.705200        0.018601
LBFGS:    8 15:57:45    -1105.705688        0.017892
LBFGS:    9 15:57:45    -1105.706055        0.017842
LBFGS:   10 15:57:45    -1105.706177        0.017323
LBFGS:   11 15:57:45    -1105.706299        0.016634
LBFGS:   12 15:57:45    -1105.706543        0.015716
LBFGS:   13 15:57:45    -1105.706909        0.015114
LBFGS:   14 15:57:45    -1105.707275        0.014028
LBFGS:   15 15:57:45    -1105.707397        0.015023
LBFGS:   16 15:57:45    -1105.707520        0.013396
LBFGS:   17 15:57:45    -1105.707642        0.012781
LBFGS:   18 15:57:45    -1105.707886        0.012277
LBFGS:   19 15:57:45    -1105.708130        0.011938
LBFGS:   20 15:57:45    -1105.708252        0.016789
LBFGS:   21 15:57:45    -1105.708374        0.016067
LBFGS:   22 15:57:45    -1105.708496        0.012580
LBFGS:   23 15:57:45    -1105.708496        0.010238
LBFGS:   24 15:57:46    -1105.708740        0.010217
LBFGS:   25 15:57:46    -1105.708862        0.013691
LBFGS:   26 15:57:46    -1105.708862        0.015367
LBFGS:   27 15:57:46    -1105.708862        0.013100
LBFGS:   28 15:57:46    -1105.708984        0.010851
LBFGS:   29 15:57:46    -1105.708984        0.010870
LBFGS:   30 15:57:46    -1105.709106        0.010820
LBFGS:   31 15:57:46    -1105.709229        0.011940
LBFGS:   32 15:57:46    -1105.709229        0.010716
LBFGS:   33 15:57:46    -1105.709229        0.010650
LBFGS:   34 15:57:46    -1105.709351        0.010501
LBFGS:   35 15:57:46    -1105.709473        0.010253
LBFGS:   36 15:57:46    -1105.709595        0.011219
LBFGS:   37 15:57:46    -1105.709595        0.012056
LBFGS:   38 15:57:46    -1105.709595        0.009694
       Step     Time          Energy          fmax
LBFGS:    0 15:57:47    -1105.740112        0.107808
LBFGS:    1 15:57:48    -1105.742065        0.104346
LBFGS:    2 15:57:59    -1105.765259        0.042229
LBFGS:    3 15:57:59    -1105.765747        0.041350
LBFGS:    4 15:57:59    -1105.770630        0.030031
LBFGS:    5 15:57:59    -1105.770874        0.030049
LBFGS:    6 15:57:59    -1105.774048        0.027552
LBFGS:    7 15:57:59    -1105.774292        0.028191
LBFGS:    8 15:57:59    -1105.774658        0.029350
LBFGS:    9 15:57:59    -1105.775269        0.030470
LBFGS:   10 15:57:59    -1105.776123        0.031942
LBFGS:   11 15:57:59    -1105.777100        0.033507
LBFGS:   12 15:57:59    -1105.777588        0.031810
LBFGS:   13 15:57:59    -1105.777832        0.027454
LBFGS:   14 15:57:59    -1105.778320        0.025920
LBFGS:   15 15:57:59    -1105.778931        0.025405
LBFGS:   16 15:58:00    -1105.779785        0.030226
LBFGS:   17 15:58:00    -1105.780273        0.030852
LBFGS:   18 15:58:00    -1105.780518        0.028227
LBFGS:   19 15:58:00    -1105.780762        0.025344
LBFGS:   20 15:58:00    -1105.781128        0.022797
LBFGS:   21 15:58:00    -1105.781738        0.023642
LBFGS:   22 15:58:00    -1105.782349        0.022287
LBFGS:   23 15:58:00    -1105.782715        0.030935
LBFGS:   24 15:58:00    -1105.782959        0.030631
LBFGS:   25 15:58:00    -1105.783325        0.025674
LBFGS:   26 15:58:00    -1105.783813        0.031043
LBFGS:   27 15:58:00    -1105.784790        0.040821
LBFGS:   28 15:58:00    -1105.785767        0.044290
LBFGS:   29 15:58:00    -1105.786621        0.047061
LBFGS:   30 15:58:00    -1105.786987        0.046646
LBFGS:   31 15:58:00    -1105.787598        0.047184
LBFGS:   32 15:58:00    -1105.788574        0.041823
LBFGS:   33 15:58:00    -1105.790283        0.038138
LBFGS:   34 15:58:00    -1105.791870        0.044760
LBFGS:   35 15:58:00    -1105.792480        0.041427
LBFGS:   36 15:58:00    -1105.793091        0.044601
LBFGS:   37 15:58:00    -1105.794312        0.041753
LBFGS:   38 15:58:01    -1105.796265        0.043690
LBFGS:   39 15:58:01    -1105.797974        0.047421
LBFGS:   40 15:58:01    -1105.798828        0.042670
LBFGS:   41 15:58:01    -1105.799316        0.037118
LBFGS:   42 15:58:01    -1105.799927        0.037292
LBFGS:   43 15:58:01    -1105.801270        0.040383
LBFGS:   44 15:58:01    -1105.802734        0.050366
LBFGS:   45 15:58:01    -1105.803711        0.060364
LBFGS:   46 15:58:01    -1105.804321        0.067412
LBFGS:   47 15:58:01    -1105.805176        0.074574
LBFGS:   48 15:58:01    -1105.806641        0.082150
LBFGS:   49 15:58:01    -1105.808960        0.072200
LBFGS:   50 15:58:01    -1105.811523        0.070594
LBFGS:   51 15:58:01    -1105.813843        0.063510
LBFGS:   52 15:58:01    -1105.814697        0.058573
LBFGS:   53 15:58:01    -1105.816040        0.060461
LBFGS:   54 15:58:01    -1105.818237        0.054985
LBFGS:   55 15:58:01    -1105.820557        0.056246
LBFGS:   56 15:58:01    -1105.822021        0.054185
LBFGS:   57 15:58:01    -1105.822388        0.038769
LBFGS:   58 15:58:01    -1105.822754        0.026390
LBFGS:   59 15:58:01    -1105.823242        0.021526
LBFGS:   60 15:58:02    -1105.824585        0.020045
LBFGS:   61 15:58:02    -1105.824829        0.021742
LBFGS:   62 15:58:02    -1105.825073        0.016564
LBFGS:   63 15:58:02    -1105.825073        0.012142
LBFGS:   64 15:58:02    -1105.825317        0.010208
LBFGS:   65 15:58:02    -1105.825562        0.011053
LBFGS:   66 15:58:02    -1105.825684        0.011127
LBFGS:   67 15:58:02    -1105.825684        0.007013
Using device: cuda
Skipping neb calculation
       Step     Time          Energy          fmax
LBFGS:    0 15:58:10    -1105.729004        0.235366
LBFGS:    1 15:58:11    -1105.732300        0.224192
LBFGS:    2 15:58:13    -1105.763062        0.093299
LBFGS:    3 15:58:14    -1105.763916        0.074928
LBFGS:    4 15:58:14    -1105.764893        0.059633
LBFGS:    5 15:58:14    -1105.767334        0.058088
LBFGS:    6 15:58:14    -1105.769409        0.054628
LBFGS:    7 15:58:14    -1105.770508        0.049672
LBFGS:    8 15:58:14    -1105.770874        0.047175
LBFGS:    9 15:58:14    -1105.771240        0.045748
LBFGS:   10 15:58:14    -1105.771973        0.044495
LBFGS:   11 15:58:14    -1105.772949        0.044860
LBFGS:   12 15:58:14    -1105.773804        0.047291
LBFGS:   13 15:58:14    -1105.774292        0.049439
LBFGS:   14 15:58:14    -1105.774658        0.050727
LBFGS:   15 15:58:14    -1105.775146        0.052297
LBFGS:   16 15:58:14    -1105.776001        0.054419
LBFGS:   17 15:58:14    -1105.777222        0.054475
LBFGS:   18 15:58:14    -1105.778198        0.051770
LBFGS:   19 15:58:14    -1105.778931        0.050305
LBFGS:   20 15:58:14    -1105.779297        0.049696
LBFGS:   21 15:58:14    -1105.780029        0.048275
LBFGS:   22 15:58:14    -1105.781372        0.050532
LBFGS:   23 15:58:14    -1105.782959        0.044288
LBFGS:   24 15:58:14    -1105.783936        0.038904
LBFGS:   25 15:58:14    -1105.784424        0.034103
LBFGS:   26 15:58:15    -1105.784790        0.027232
LBFGS:   27 15:58:15    -1105.785522        0.031126
LBFGS:   28 15:58:15    -1105.786499        0.029932
LBFGS:   29 15:58:15    -1105.787231        0.032827
LBFGS:   30 15:58:15    -1105.787598        0.029549
LBFGS:   31 15:58:15    -1105.787720        0.021249
LBFGS:   32 15:58:15    -1105.787842        0.023546
LBFGS:   33 15:58:15    -1105.788086        0.019308
LBFGS:   34 15:58:15    -1105.788330        0.016144
LBFGS:   35 15:58:15    -1105.788574        0.016621
LBFGS:   36 15:58:15    -1105.788574        0.013886
LBFGS:   37 15:58:15    -1105.788696        0.013225
LBFGS:   38 15:58:15    -1105.788940        0.012330
LBFGS:   39 15:58:15    -1105.788940        0.009702
Using device: cuda
Skipping neb calculation
       Step     Time          Energy          fmax
LBFGS:    0 15:58:22    -1105.705078        0.110182
LBFGS:    1 15:58:23    -1105.706421        0.106905
LBFGS:    2 15:58:26    -1105.724976        0.058019
LBFGS:    3 15:58:26    -1105.725342        0.056184
LBFGS:    4 15:58:26    -1105.729980        0.040296
LBFGS:    5 15:58:26    -1105.731201        0.042466
LBFGS:    6 15:58:26    -1105.731812        0.038412
LBFGS:    7 15:58:26    -1105.732178        0.034102
LBFGS:    8 15:58:26    -1105.733276        0.033466
LBFGS:    9 15:58:26    -1105.734497        0.033065
LBFGS:   10 15:58:26    -1105.735596        0.033944
LBFGS:   11 15:58:26    -1105.736084        0.033743
LBFGS:   12 15:58:26    -1105.736328        0.033240
LBFGS:   13 15:58:26    -1105.736694        0.032856
LBFGS:   14 15:58:26    -1105.737305        0.033368
LBFGS:   15 15:58:26    -1105.738037        0.035636
LBFGS:   16 15:58:26    -1105.738525        0.038403
LBFGS:   17 15:58:26    -1105.738770        0.040225
LBFGS:   18 15:58:26    -1105.739136        0.042052
LBFGS:   19 15:58:26    -1105.739746        0.045077
LBFGS:   20 15:58:26    -1105.740723        0.048184
LBFGS:   21 15:58:26    -1105.741943        0.047435
LBFGS:   22 15:58:26    -1105.742798        0.047668
LBFGS:   23 15:58:26    -1105.743408        0.045460
LBFGS:   24 15:58:26    -1105.744263        0.041022
LBFGS:   25 15:58:27    -1105.745972        0.052369
LBFGS:   26 15:58:27    -1105.748413        0.073980
LBFGS:   27 15:58:27    -1105.751099        0.101048
LBFGS:   28 15:58:27    -1105.753296        0.136563
LBFGS:   29 15:58:27    -1105.755005        0.141260
LBFGS:   30 15:58:27    -1105.757812        0.159927
LBFGS:   31 15:58:27    -1105.765015        0.170668
LBFGS:   32 15:58:27    -1105.772461        0.159108
LBFGS:   33 15:58:27    -1105.777344        0.136283
LBFGS:   34 15:58:27    -1105.781250        0.118050
LBFGS:   35 15:58:27    -1105.782837        0.116776
LBFGS:   36 15:58:27    -1105.786987        0.099882
LBFGS:   37 15:58:27    -1105.791260        0.077917
LBFGS:   38 15:58:27    -1105.794800        0.076726
LBFGS:   39 15:58:27    -1105.796265        0.065989
LBFGS:   40 15:58:27    -1105.797241        0.053969
LBFGS:   41 15:58:27    -1105.798340        0.055882
LBFGS:   42 15:58:27    -1105.800049        0.055408
LBFGS:   43 15:58:27    -1105.801636        0.053920
LBFGS:   44 15:58:27    -1105.802734        0.054762
LBFGS:   45 15:58:27    -1105.803345        0.055904
LBFGS:   46 15:58:27    -1105.803833        0.057179
LBFGS:   47 15:58:27    -1105.804810        0.059244
LBFGS:   48 15:58:28    -1105.806885        0.059829
LBFGS:   49 15:58:28    -1105.809204        0.049126
LBFGS:   50 15:58:28    -1105.810669        0.050185
LBFGS:   51 15:58:28    -1105.811768        0.042061
LBFGS:   52 15:58:28    -1105.812378        0.043050
LBFGS:   53 15:58:28    -1105.813354        0.036178
LBFGS:   54 15:58:28    -1105.814575        0.032845
LBFGS:   55 15:58:28    -1105.815674        0.032941
LBFGS:   56 15:58:28    -1105.816162        0.032571
LBFGS:   57 15:58:28    -1105.816406        0.026083
LBFGS:   58 15:58:28    -1105.816650        0.022942
LBFGS:   59 15:58:28    -1105.817383        0.017770
LBFGS:   60 15:58:28    -1105.817749        0.024219
LBFGS:   61 15:58:28    -1105.817993        0.022715
LBFGS:   62 15:58:28    -1105.818115        0.017578
LBFGS:   63 15:58:28    -1105.818237        0.017610
LBFGS:   64 15:58:28    -1105.818481        0.015751
LBFGS:   65 15:58:28    -1105.818726        0.015104
LBFGS:   66 15:58:28    -1105.818848        0.015595
LBFGS:   67 15:58:28    -1105.818848        0.012424
LBFGS:   68 15:58:28    -1105.818970        0.010885
LBFGS:   69 15:58:28    -1105.819092        0.007944
Using device: cuda
Skipping neb calculation
       Step     Time          Energy          fmax
LBFGS:    0 15:58:36    -1105.690552        0.103058
LBFGS:    1 15:58:36    -1105.692261        0.098614
LBFGS:    2 15:58:39    -1105.715576        0.058776
LBFGS:    3 15:58:39    -1105.716064        0.057094
LBFGS:    4 15:58:39    -1105.721924        0.046340
LBFGS:    5 15:58:39    -1105.722168        0.045939
LBFGS:    6 15:58:39    -1105.722900        0.044329
LBFGS:    7 15:58:39    -1105.723633        0.041591
LBFGS:    8 15:58:39    -1105.724854        0.036893
LBFGS:    9 15:58:39    -1105.725586        0.033293
LBFGS:   10 15:58:39    -1105.725952        0.031460
LBFGS:   11 15:58:39    -1105.726318        0.030426
LBFGS:   12 15:58:39    -1105.726929        0.029268
LBFGS:   13 15:58:39    -1105.727905        0.028637
LBFGS:   14 15:58:39    -1105.728882        0.029542
LBFGS:   15 15:58:39    -1105.729370        0.040765
LBFGS:   16 15:58:40    -1105.729736        0.041396
LBFGS:   17 15:58:40    -1105.730347        0.037023
LBFGS:   18 15:58:40    -1105.731445        0.047079
LBFGS:   19 15:58:40    -1105.733765        0.079535
LBFGS:   20 15:58:40    -1105.736694        0.174184
LBFGS:   21 15:58:40    -1105.739014        0.149378
LBFGS:   22 15:58:40    -1105.743164        0.166632
LBFGS:   23 15:58:40    -1105.748169        0.186404
LBFGS:   24 15:58:40    -1105.754517        0.177998
LBFGS:   25 15:58:40    -1105.768066        0.132738
LBFGS:   26 15:58:40    -1105.779541        0.114164
LBFGS:   27 15:58:40    -1105.781860        0.100065
LBFGS:   28 15:58:40    -1105.787964        0.081971
