epoch, wall, LR,training_loss_virial,training_loss_f,training_loss_e,training_loss,training_virial_mae,training_virial_rmse,training_f_mae,training_f_rmse,training_e_mae,training_e_rmse,validation_loss_virial,validation_loss_f,validation_loss_e,validation_loss,validation_virial_mae,validation_virial_rmse,validation_f_mae,validation_f_rmse,validation_e_mae,validation_e_rmse
       131, 6272.677,    0.001,         0.026255,       0.00013213,       0.00082603,         0.027214,         0.85,         1.78,       0.0819,        0.127,        0.244,        0.316,         0.026733,       0.00015315,       0.00044643,         0.027333,        0.856,          1.8,       0.0889,        0.136,        0.185,        0.233
       132, 6320.800,    0.001,         0.026229,       0.00013573,       0.00079477,          0.02716,        0.856,         1.78,       0.0836,        0.128,         0.24,         0.31,         0.026668,       0.00013264,       0.00090594,         0.027707,        0.854,          1.8,       0.0805,        0.127,        0.263,        0.332
       133, 6368.367,    0.001,          0.02629,       0.00013288,       0.00083488,         0.027258,        0.849,         1.79,       0.0817,        0.127,        0.246,        0.318,         0.026156,       0.00014932,       0.00077263,         0.027078,        0.843,         1.78,       0.0858,        0.135,        0.233,        0.307
       134, 6416.629,    0.001,         0.026189,       0.00013742,       0.00079057,         0.027117,        0.857,         1.78,       0.0832,        0.129,         0.24,         0.31,         0.025805,       0.00012633,        0.0011008,         0.027032,        0.826,         1.77,       0.0798,        0.124,        0.296,        0.365
       135, 6464.839,    0.001,         0.026208,       0.00013328,       0.00072957,         0.027071,        0.849,         1.78,       0.0822,        0.127,        0.233,        0.297,         0.030124,       0.00014083,       0.00078009,         0.031045,        0.964,         1.91,       0.0862,        0.131,        0.243,        0.307
       136, 6512.977,    0.001,         0.026384,        0.0001358,       0.00079824,         0.027318,        0.857,         1.79,       0.0828,        0.128,        0.239,        0.311,         0.025889,       0.00014492,        0.0010798,         0.027114,        0.831,         1.77,       0.0855,        0.133,        0.283,        0.362
       137, 6561.245,    0.001,         0.025947,       0.00013734,       0.00077035,         0.026855,        0.851,         1.77,       0.0834,        0.129,        0.237,        0.305,         0.025632,       0.00010144,       0.00086452,         0.026598,        0.821,         1.77,       0.0719,        0.111,        0.245,        0.324
       138, 6609.307,    0.001,         0.026044,       0.00013257,       0.00082186,         0.026998,        0.856,         1.78,       0.0824,        0.127,        0.246,        0.316,         0.026857,        0.0001094,       0.00061269,         0.027579,        0.831,         1.81,        0.073,        0.115,        0.223,        0.273
       139, 6657.047,    0.001,         0.026198,       0.00012924,       0.00076232,          0.02709,         0.85,         1.78,       0.0809,        0.125,        0.239,        0.304,         0.027101,       0.00012817,        0.0014473,         0.028676,        0.851,         1.82,       0.0811,        0.125,        0.334,        0.418
       140, 6705.555,    0.001,         0.025989,       0.00013548,       0.00082127,         0.026946,        0.854,         1.77,       0.0826,        0.128,        0.247,        0.315,         0.025795,       0.00012131,        0.0012688,         0.027185,         0.81,         1.77,       0.0795,        0.121,         0.31,        0.392
       141, 6753.204,    0.001,         0.026176,       0.00013724,       0.00078076,         0.027094,        0.853,         1.78,       0.0834,        0.129,        0.238,        0.307,         0.026476,       0.00012235,       0.00088391,         0.027482,        0.838,         1.79,       0.0787,        0.122,        0.266,        0.327
       142, 6801.459,    0.001,         0.026239,       0.00013466,       0.00082501,         0.027198,        0.852,         1.78,       0.0827,        0.128,        0.243,        0.316,         0.027141,       0.00013702,       0.00073377,         0.028012,        0.854,         1.82,       0.0815,        0.129,         0.25,        0.298
       143, 6849.533,    0.001,         0.025915,       0.00013471,       0.00079485,         0.026845,        0.849,         1.77,       0.0821,        0.128,        0.239,         0.31,         0.025832,       0.00012965,       0.00090921,         0.026871,        0.815,         1.77,       0.0821,        0.125,        0.263,        0.332
       144, 6897.567,    0.001,          0.02573,       0.00013593,       0.00077309,         0.026639,        0.847,         1.76,       0.0834,        0.128,        0.236,        0.306,         0.026958,         0.000124,        0.0006177,         0.027699,        0.845,         1.81,       0.0778,        0.123,        0.221,        0.274
       145, 6945.714,    0.001,         0.025975,       0.00013976,       0.00077223,         0.026887,         0.85,         1.77,       0.0844,         0.13,        0.236,        0.306,           0.0257,       0.00011341,       0.00077325,         0.026587,        0.821,         1.77,       0.0773,        0.117,        0.243,        0.306
       146, 6993.623,    0.001,         0.025717,       0.00013928,       0.00076087,         0.026617,        0.853,         1.77,       0.0839,         0.13,        0.234,        0.304,         0.025897,       0.00011554,        0.0012146,         0.027227,        0.817,         1.77,       0.0778,        0.118,        0.308,        0.384
       147, 7041.468,    0.001,         0.025924,       0.00013654,       0.00074262,         0.026803,        0.846,         1.77,       0.0834,        0.129,        0.233,          0.3,         0.026482,       0.00010937,       0.00096241,         0.027554,        0.827,         1.79,       0.0756,        0.115,        0.275,        0.342
       148, 7089.057,    0.001,         0.025802,       0.00013728,       0.00075636,         0.026696,        0.847,         1.77,       0.0837,        0.129,        0.234,        0.303,         0.026178,       0.00011389,       0.00056309,         0.026855,        0.839,         1.78,       0.0776,        0.118,        0.209,        0.262
       149, 7137.239,    0.001,         0.025786,       0.00013817,       0.00074684,         0.026671,        0.846,         1.77,        0.084,        0.129,        0.234,        0.301,         0.027928,       0.00013294,       0.00057054,         0.028632,        0.908,         1.84,       0.0823,        0.127,        0.206,        0.263
       150, 7185.501,    0.001,         0.025776,       0.00013495,       0.00073694,         0.026648,         0.85,         1.77,       0.0828,        0.128,        0.231,        0.299,         0.028044,        0.0001998,        0.0005117,         0.028756,         0.92,         1.85,       0.0979,        0.156,        0.194,        0.249
       151, 7232.942,    0.001,         0.025718,       0.00014466,       0.00073674,           0.0266,        0.853,         1.77,        0.085,        0.132,         0.23,        0.299,         0.026347,       0.00011848,       0.00078739,         0.027253,         0.82,         1.79,       0.0784,         0.12,        0.243,        0.309
       152, 7280.782,    0.001,         0.025763,       0.00013407,       0.00079537,         0.026693,        0.846,         1.77,       0.0828,        0.127,        0.239,         0.31,         0.027705,       0.00016727,       0.00045998,         0.028332,        0.892,         1.84,        0.091,        0.142,        0.191,        0.236
       153, 7329.073,    0.001,         0.025654,       0.00014445,       0.00069887,         0.026498,         0.85,         1.76,       0.0849,        0.132,        0.225,        0.291,         0.026346,       0.00013834,       0.00046905,         0.026953,        0.834,         1.79,       0.0839,         0.13,        0.192,        0.239
       154, 7376.674,    0.001,         0.025381,       0.00014249,       0.00068699,         0.026211,        0.845,         1.75,        0.085,        0.131,        0.224,        0.288,         0.026826,       0.00011963,       0.00069625,         0.027642,        0.836,         1.81,       0.0795,         0.12,        0.224,        0.291
       155, 7424.427,    0.001,         0.025676,       0.00013824,       0.00070554,          0.02652,        0.849,         1.76,       0.0838,        0.129,        0.227,        0.292,         0.025625,       0.00013171,       0.00066323,          0.02642,        0.817,         1.77,       0.0822,        0.126,        0.221,        0.284
       156, 7471.971,    0.001,          0.02549,       0.00013928,       0.00074336,         0.026373,        0.845,         1.76,       0.0842,         0.13,        0.234,          0.3,         0.025939,       0.00012638,       0.00059968,         0.026665,        0.842,         1.78,       0.0827,        0.124,        0.209,         0.27
       157, 7519.762,    0.001,         0.025702,       0.00013784,       0.00080886,         0.026649,        0.845,         1.76,       0.0839,        0.129,        0.241,        0.313,         0.026425,         0.000152,       0.00062005,         0.027197,        0.854,         1.79,        0.088,        0.136,         0.21,        0.275
       158, 7567.291,    0.001,          0.02547,       0.00014147,       0.00069301,         0.026304,        0.847,         1.76,       0.0848,        0.131,        0.224,         0.29,         0.027396,       0.00017124,       0.00073169,         0.028299,        0.886,         1.82,       0.0961,        0.144,        0.238,        0.298
       159, 7616.013,    0.001,         0.025523,       0.00014033,       0.00075599,         0.026419,         0.85,         1.76,       0.0849,         0.13,        0.237,        0.303,         0.026046,        0.0001475,       0.00062443,         0.026818,        0.847,         1.78,       0.0864,        0.134,        0.215,        0.276
       160, 7663.517,    0.001,         0.025203,       0.00014178,       0.00067084,         0.026015,        0.843,         1.75,       0.0851,        0.131,         0.22,        0.285,          0.02616,       0.00016417,        0.0005541,         0.026878,        0.844,         1.78,       0.0907,        0.141,        0.198,        0.259
       161, 7712.196,    0.001,         0.025345,       0.00014616,       0.00064281,         0.026134,        0.849,         1.75,       0.0861,        0.133,        0.218,        0.279,         0.026308,       0.00016088,        0.0007123,         0.027181,        0.855,         1.79,       0.0884,         0.14,        0.244,        0.294
       162, 7760.398,    0.001,         0.025418,       0.00014035,       0.00069506,         0.026253,        0.847,         1.75,       0.0842,         0.13,        0.229,         0.29,         0.026256,       0.00016276,       0.00046088,          0.02688,        0.844,         1.79,       0.0892,         0.14,        0.193,        0.237
       163, 7808.834,    0.001,         0.025336,       0.00014103,        0.0006661,         0.026143,        0.841,         1.75,        0.085,        0.131,         0.22,        0.284,         0.027063,        0.0001511,        0.0014773,         0.028692,        0.875,         1.81,       0.0884,        0.135,        0.355,        0.423
       164, 7856.334,    0.001,         0.025381,       0.00014023,        0.0007023,         0.026223,        0.846,         1.75,       0.0843,         0.13,        0.228,        0.292,          0.02627,       0.00013764,       0.00074553,         0.027153,        0.837,         1.79,       0.0836,        0.129,        0.236,        0.301
       165, 7904.372,    0.001,         0.025412,        0.0001443,       0.00069043,         0.026247,        0.844,         1.75,       0.0859,        0.132,        0.226,        0.289,         0.026696,       0.00015798,        0.0010485,         0.027902,        0.856,          1.8,       0.0875,        0.138,        0.302,        0.357
       166, 7952.221,    0.001,         0.025241,       0.00014297,       0.00068775,         0.026072,        0.844,         1.75,       0.0852,        0.132,        0.223,        0.289,         0.027992,       0.00013624,       0.00078378,         0.028912,        0.896,         1.84,       0.0849,        0.129,         0.25,        0.309
       167, 7999.952,    0.001,         0.025248,       0.00014507,        0.0006643,         0.026057,        0.842,         1.75,       0.0865,        0.133,        0.221,        0.284,         0.025791,       0.00011636,       0.00093403,         0.026842,        0.813,         1.77,       0.0778,        0.119,        0.269,        0.337
       168, 8048.174,    0.001,          0.02513,        0.0001425,       0.00072218,         0.025995,        0.842,         1.75,       0.0854,        0.131,        0.228,        0.296,         0.025626,       0.00013135,       0.00067897,         0.026436,        0.808,         1.77,       0.0816,        0.126,        0.219,        0.287
       169, 8096.620,    0.001,           0.0252,       0.00014553,       0.00066013,         0.026005,        0.846,         1.75,       0.0862,        0.133,         0.22,        0.283,          0.02749,        0.0001802,       0.00046933,         0.028139,        0.884,         1.83,       0.0939,        0.148,        0.187,        0.239
       170, 8144.116,    0.001,         0.025171,       0.00014486,       0.00063199,         0.025947,        0.838,         1.75,       0.0855,        0.132,        0.216,        0.277,         0.026656,        0.0001625,       0.00046309,         0.027281,        0.869,          1.8,       0.0916,         0.14,        0.182,        0.237
       171, 8192.202,    0.001,         0.025003,       0.00015111,       0.00062848,         0.025783,        0.848,         1.74,       0.0881,        0.135,        0.215,        0.276,         0.026005,       0.00015192,       0.00051306,          0.02667,        0.848,         1.78,       0.0862,        0.136,        0.193,         0.25
       172, 8239.959,    0.001,         0.025248,       0.00013871,       0.00069402,         0.026081,        0.838,         1.75,        0.084,         0.13,        0.225,         0.29,         0.026434,       0.00015941,       0.00052879,         0.027122,        0.861,         1.79,       0.0906,        0.139,        0.189,        0.253
       173, 8287.529,    0.001,         0.024914,       0.00014761,        0.0006954,         0.025757,        0.838,         1.74,       0.0866,        0.134,        0.224,         0.29,         0.025895,       0.00011496,       0.00088566,         0.026895,        0.822,         1.77,       0.0777,        0.118,        0.266,        0.328
       174, 8335.306,    0.001,         0.024961,       0.00014637,       0.00062927,         0.025736,        0.841,         1.74,       0.0863,        0.133,        0.214,        0.276,          0.02612,       0.00011999,        0.0011558,         0.027396,        0.845,         1.78,       0.0786,        0.121,        0.281,        0.375
       175, 8382.816,    0.001,          0.02512,       0.00014689,       0.00070498,         0.025971,        0.844,         1.74,       0.0865,        0.133,        0.225,        0.292,         0.026152,       0.00012844,       0.00041447,         0.026695,        0.831,         1.78,       0.0788,        0.125,        0.176,        0.224
       176, 8431.317,    0.001,          0.02493,       0.00013749,       0.00069644,         0.025764,        0.836,         1.74,       0.0838,        0.129,        0.224,        0.291,         0.026475,       0.00016281,       0.00046338,         0.027101,        0.861,         1.79,       0.0922,        0.141,        0.186,        0.237
       177, 8478.834,    0.001,         0.024876,       0.00014967,       0.00064903,         0.025675,        0.842,         1.74,       0.0877,        0.135,        0.219,         0.28,         0.026567,       0.00015293,       0.00095938,          0.02768,        0.862,          1.8,       0.0884,        0.136,        0.271,        0.342
       178, 8527.003,    0.001,         0.024985,        0.0001458,        0.0006356,         0.025766,        0.845,         1.74,       0.0856,        0.133,        0.214,        0.278,          0.02637,       0.00014455,       0.00075515,          0.02727,        0.845,         1.79,       0.0872,        0.132,        0.236,        0.303
       179, 8574.490,    0.001,         0.024825,       0.00014548,       0.00059747,         0.025567,        0.837,         1.73,       0.0857,        0.133,        0.209,        0.269,         0.026776,       0.00013821,       0.00082241,         0.027737,        0.852,          1.8,        0.086,        0.129,        0.253,        0.316
